id_source,name,address,country,currency,delivery_cost,lat,lon,image_url,radius,rating,reviews_nr,delivery_options,promo,loc_type,delivery_by,delivery_time,open,displayedHours,sun,mon,tue,wed,thu,fri,sat,tempClosed,type_food_0,type_food_1,type_food_2,type_food_3,type_food_4,extracted_options
4-CZCATUETNJBBHA,Canadian Pizza,Canadian Pizza - Jurong West Street 42,Singapore,SGD,3.3,1.3537621453080426,103.71852918452608,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCATUETNJBBHA/hero/b322e1f26a5343c4a9e5d1b6808b1219_1604999278591164641.png,2500,4.5,722.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,43.0,,Closed,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,True,Pizza,Western,Fast Food,,,Livraison et à emporter
4-CZKXEJWVBF4FNX,Heng Heng Steamed Beehoon And Nasi Lemak,Heng Heng Steamed Beehoon And Nasi Lemak  - Tahoe Garden,Singapore,SGD,17.7,1.34885201,103.72516742,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKXEJWVBF4FNX/hero/d3be4af5218f441787b4d5a68edd3fed_1593482748608021545.jpeg,5000,4.0,10.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,,Closed,Closed,Closed,Closed,12:00-12:01,Closed,Closed,Closed,True,Local,Breakfast & Brunch,Fried Chicken,Nasi Lemak,Singaporean,Livraison et à emporter
4-CYVFRGA2CJ5JTE,Craze Kitchen,Craze Kitchen - Tampines Street 21 [Islandwide Delivery],Singapore,SGD,9.4,1.3521029,103.9534663,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYVFRGA2CJ5JTE/hero/f0b3b2f8f64a4adb98bd33d9d6f07bce_1600248928150161372.jpeg,25000,4.4,704.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,52.0,True,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,00:00-02:59 09:00-23:59,,Western,Pasta,Burger,Halal,Islandwide Delivery,Livraison et à emporter
4-C2DYNJCDJTBZCJ,Godzilla Western Food,Godzilla Western Food - Bedok North Street 2,Singapore,SGD,5.8,1.327648078917818,103.93923572613475,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DYNJCDJTBZCJ/hero/83059a6a4af0453db7e6dd572410aefd_1614759988276741230.jpeg,5000,4.3,19.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,43.0,True,11:15-20:45,11:15-20:45,11:15-20:45,11:15-20:45,11:15-20:45,Closed,11:15-20:45,11:15-20:45,,BBQ,Chicken,Fried Chicken,Western,,Livraison et à emporter
SGDD08905,Domino's,Domino's - Siglap,Singapore,SGD,4.5,1.312316592,103.924632,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD08905/hero/9492256b1c764983ac17a80227d13df3_1620730385494057105.jpg,10000,4.6,885.0,ONLY_DELIVERY,,FOOD,MERCHANT,65.0,,Closed,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,True,Western,Fast Food,Pizza,Halal,Chicken,Livraison uniquement
4-C2MZDCK3LT32CE,Ayam Penyet Puedess Mantul,Ayam Penyet Puedess Mantul - Lorong 5 Toa Payoh [Islandwide Delivery],Singapore,SGD,24.5,1.3360529,103.8530803,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MZDCK3LT32CE/hero/12c69aadc344420593f0ea0e7399208f_1617618939635154236.jpg,24997,4.7,78.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,103.0,True,13:00-22:30 22:30-23:59,12:30-22:30 22:30-23:59,Closed,12:00-22:30 22:30-23:59,13:00-22:30 23:00-23:59,12:00-22:30 22:30-23:59,12:00-22:30 22:30-23:59,13:00-22:30 22:30-23:59,,Asian,Chicken,Fried Chicken,Indonesian,Local,Livraison et à emporter
4-CZDHLFMGLYVFTT,Trattoria Da Mimmo,Trattoria Da Mimmo - Clover Park [Islandwide Delivery],Singapore,SGD,24.9,1.350152978043035,103.8429355,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDHLFMGLYVFTT/hero/94879d8c35544183898219529e0fb208_1595837255077798376.jpeg,24997,4.3,97.0,ONLY_DELIVERY,,FOOD,GRAB,69.0,True,11:30-13:45 17:00-21:00,11:30-13:45 17:00-21:00,11:30-13:45 17:30-21:00,Closed,11:30-13:45 17:30-21:00,11:30-13:45 17:30-21:00,11:30-13:45 17:00-21:00,11:30-13:45 17:00-21:00,,Italian,Pasta,Pizza,Islandwide Delivery,,Livraison uniquement
4-CZJHKGEFJVDAKA,Wu BBQ Seafood,Wu BBQ Seafood - Boon Lay Place Food Village,Singapore,SGD,4.5,1.3455329942327687,103.71319336350312,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZJHKGEFJVDAKA/hero/92391e90522c44b58c759b4e097776e2_1590749888676616022.jpg,5000,3.8,20.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,39.0,True,06:00-11:00 16:30-21:00,06:00-14:00 16:30-21:00,16:30-21:00,06:00-11:00 16:30-21:00,06:00-11:00,06:00-11:00 16:30-21:00,06:00-11:00 16:30-21:00,06:00-11:00 16:30-21:00,,Local,Asian,BBQ,Seafood,,Livraison et à emporter
4-CY4ECKUZAP4FAT,Wingstop,Wingstop - Jurong Point,Singapore,SGD,4.7,1.3388819,103.70528131723404,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY4ECKUZAP4FAT/hero/8c112111ba89463cb53e641daf023b47_1589179363508433054.jpeg,5000,4.5,2433.0,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,43.0,True,11:00-21:50,11:00-21:50,11:00-21:50,11:00-21:50,11:00-21:50,11:00-21:50,11:00-21:50,11:00-21:50,,Chicken,Western,Fast Food,Halal,,Livraison uniquement
4-C2TZNYK3PAAXSE,Two Mars Futuristic Bistro,Two Mars Futuristic Bistro - East Village,Singapore,SGD,5.4,1.33204520966275,103.946859171574,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TZNYK3PAAXSE/hero/6acc747b7ce44af3acd9a889ab14d359_1621665539819806569.jpg,2500,5.0,,DELIVERY_TAKEAWAY,,FOOD,GRAB,32.0,True,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,,Asian,Beverages,Burgers,Chicken,Fried Chicken,Livraison et à emporter
4-C2LKDB4ZCCLGNN,Da Shi Jia Chicken Rice,Da Shi Jia Chicken Rice - Jurong West Street 91,Singapore,SGD,3.6,1.342232,103.687167,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2LKDB4ZCCLGNN/hero/d5ca1aab2a604284b48289ce7d28d308_1618627763096923117.jpeg,5000,4.8,6.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,33.0,True,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,09:00-20:30,,Chicken,Chinese,Fried Chicken,Local,Singaporean,Livraison et à emporter
4-CYTTJJ3CVNXYJJ,Subway,Subway - Jurong Point,Singapore,SGD,3.3,1.3401417590909093,103.7064808,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTTJJ3CVNXYJJ/hero/568084b0d22b48c9ae8c4c39b130849f_1576205939771971820.png,2500,4.5,2155.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,37.0,True,08:30-21:45,08:30-21:45,08:30-21:45,08:30-21:45,08:30-21:45,08:30-21:45,08:30-21:45,08:30-21:45,,Healthy,Sandwiches,Fast Food,Halal,Western,Livraison et à emporter
4-C2JDGBDYA4MZTA,The Batter Guys,The Batter Guys - Jurong Point,Singapore,SGD,3.7,1.33974435,103.7068425,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2JDGBDYA4MZTA/hero/c918804ae92e4579b0a56cc232891fe2_1611131133560301365.jpeg,5000,3.8,15.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,37.0,True,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,,Breakfast & Brunch,Fast Food,Fried Chicken,Singaporean,,Livraison et à emporter
4-CY6UNYKYBELXVA,Long John Silver's,Long John Silver's - North Spine Plaza,Singapore,SGD,4.6,1.3470341201055192,103.68008507397629,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CY6UNYKYBELXVA/hero/11b2c897eea3412f839756dd3ea60cad_1618372233931536086.jpeg,5000,4.3,302.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,39.0,True,11:00-19:45,11:00-19:45,08:00-19:45,08:00-19:45,08:00-19:45,08:00-19:45,08:00-19:45,11:00-19:45,,Seafood,Japanese,Fast Food,Chicken,,Livraison et à emporter
SGDD09350,Domino's,Domino's - Jurong Green CC,Singapore,SGD,4.5,1.350581985014362,103.72540170940228,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD09350/hero/9d5328c5d6444a7d807a49d161305969_1620730385301411864.jpg,10000,4.4,1424.0,ONLY_DELIVERY,,FOOD,MERCHANT,65.0,,Closed,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,True,Western,Fast Food,Pizza,Halal,Chicken,Livraison uniquement
4-C2MEA6VKCEVTAT,Georges,Georges - Nanyang Crescent,Singapore,SGD,19.8,1.3546121,103.6884306,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MEA6VKCEVTAT/hero/0ffbc51155b64a609d4b8a04a9c7d54b_1621045299671240554.jpeg,5000,,,DELIVERY_TAKEAWAY,,FOOD,GRAB,39.0,,Closed,Closed,15:30-21:30,15:30-21:30,15:30-21:30,15:30-21:30,15:30-21:00,Closed,True,Pasta,Western,Burger,,,Livraison et à emporter
4-CYTCNRDAL7MHRE,Subway,Subway - IMM,Singapore,SGD,5.5,1.335212794528715,103.7461633015696,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYTCNRDAL7MHRE/hero/61eb9e2f863640f0b795d828e8983285_1576205575165968971.png,2500,4.5,866.0,DELIVERY_TAKEAWAY,2 x Spicy Buffalo Chicken Meal (U.P. $21.40),FOOD,GRAB,34.0,True,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,08:00-21:15,,Healthy,Sandwiches,Fast Food,Halal,Western,Livraison et à emporter
4-CZM3CF52V6MCBA,Tikka Taj,Tikka Taj - UE Bizhub East,Singapore,SGD,6.5,1.33503925,103.9642889,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZM3CF52V6MCBA/hero/3822890013954fe2bedd25650cc78c0b_1597912812387328209.jpeg,5000,5.0,1.0,DELIVERY_TAKEAWAY,,FOOD,GRAB,49.0,True,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,11:30-14:30 18:00-22:00,,Indian,Chicken,Kebabs,,,Livraison et à emporter
4-CYN2GYVWGALDR6,Subway,Subway - HDB Hub Toa Payoh,Singapore,SGD,5.0,1.332083609784661,103.84810852956946,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYN2GYVWGALDR6/hero/75213e34461b47079a0ef1ed7d0cb70c_1576205946711509445.png,2500,4.3,1770.0,DELIVERY_TAKEAWAY,2 x Spicy Buffalo Chicken Meal (U.P. $21.40),FOOD,GRAB,25.0,True,08:00-21:30,08:00-21:30,07:30-21:30,07:30-21:30,07:30-21:30,07:30-21:30,07:30-21:30,08:00-21:30,,Healthy,Sandwiches,Fast Food,Halal,Western,Livraison et à emporter
4-CZCATB4VNZBFKA,Canadian Pizza,Canadian Pizza - Bukit Batok Street 11,Singapore,SGD,8.1,1.3476376,103.7428298,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCATB4VNZBFKA/hero/ab73a33ab67a4f84a2c75d59d138c2ec_1604999263170613035.png,3000,4.3,578.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,44.0,True,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,10:30-21:30,,Pizza,Western,Fast Food,,,Livraison et à emporter
4-C2UGVECHGE2TCE,Cookaburra,Cookaburra - HDB Industrial Park A,Singapore,SGD,12.0,1.34343,103.75199,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2UGVECHGE2TCE/hero/d0e27fb1aad9431faf407fa84977c427_1622794867131334274.png,4000,,,ONLY_DELIVERY,,MART,GRAB,25.0,,Closed,Closed,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,True,Mart,Grill,BBQ,Same Prices In-Store,,Livraison uniquement
SGDD12003,Rong Kee Roasted Delights,Rong Kee Roasted Delights 榮記燒腊 - 109 Bukit Batok West Ave 6,Singapore,SGD,4.9,1.34675695,103.74616624741648,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD12003/hero/acc409b7b42441a3b226e3347a6990ce_1559052630738826219.jpeg,5000,4.1,138.0,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",FOOD,GRAB,37.0,True,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,,Chinese,Local,BBQ,,,Livraison et à emporter
